server_id,datid,relid,indexrelid,schemaname,relname,indexrelname,s_from,s_to,t_from,t_to,dt_sec,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_total,d_delay,d_tuples_deleted,d_pages_deleted,d_failsafe,phase,mode
1,28343,28910,28926,public,tables_list,ix_tables_list_samples,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27046,27062,public,tables_list,ix_tables_list_samples,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28910,28919,public,tables_list,pk_tables_list,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27046,27055,public,tables_list,pk_tables_list,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31715,31720,public,evs_index_window,ix_evs_index_window_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31688,31693,public,evs_window,ix_evs_window_relname,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31721,31726,public,evs_window_with_indexes,ix_evs_window_with_indexes_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31694,31699,public,evs_workload_profile,ix_evs_workload_profile_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,29011,public,indexes_list,ix_indexes_list_rel,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28990,29012,public,indexes_list,ix_indexes_list_smp,185,186,2026-04-26 11:36:52+03,2026-04-26 11:37:08+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
