server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples
1,26479,28045,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29913,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29902,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28038,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29905,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28041,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27149,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,sample_stat_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27063,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,sample_stat_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27046,5,6,2026-04-26 08:37:21+03,2026-04-26 08:37:36+03,15.000000,tables_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27126,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29643,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,last_stat_indexes_srv1,public,14.289000000000001,10.5,0.009499000000000035,0.005083000000000004,2,625,1,2,255,2,41893,1743,176,33,0,0,176,0,140,5,0,0,0
1,26479,27779,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,26914,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27701,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,last_stat_statements_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27761,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,last_stat_tables_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29625,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,last_stat_tables_srv1,public,99.88099999999997,85.9,0.32208499999999995,0.18787200000000004,194,408,186,74,258,0,23185,1359,180,0,0,0,180,0,143,5,0,0,0
1,28343,1249,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1249,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1259,6,7,2026-04-26 08:37:36+03,2026-04-26 08:40:50+03,194.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
